date,asin,product_name,mrp,selling_price,discount_percent,customer_rating,total_reviews,page_views,ad_spend_inr,is_sale_season,is_weekend,inventory_level,units_sold,is_stockout,actual_demand
2023-02-01,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.1,20066,13938,1915,0,0,229,204,0,204
2023-02-02,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.9,23210,8443,969,0,0,134,134,1,169
2023-02-03,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.2,15390,13245,1800,0,0,428,224,0,224
2023-02-04,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.2,22849,6808,516,0,1,258,156,0,156
2023-02-05,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.5,24506,7367,690,0,1,246,173,0,173
2023-02-06,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,16996,9378,1065,0,0,199,147,0,147
2023-02-07,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.4,15969,14792,1627,0,0,364,238,0,238
2023-02-08,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.0,17996,8588,1037,0,0,207,146,0,146
2023-02-09,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.4,17563,8948,1011,0,0,231,179,0,179
2023-02-10,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,16053,4542,550,0,0,226,115,0,115
2023-02-11,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.1,17696,10314,1112,0,1,161,161,1,204
2023-02-12,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.2,20525,9220,1273,0,1,232,178,0,178
2023-02-13,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.2,16908,8817,1156,0,0,189,189,1,196
2023-02-14,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.0,23528,9748,1290,0,0,90,90,1,180
2023-02-15,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.0,20462,9124,1059,0,0,200,169,0,169
2023-02-16,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.2,24892,9595,1080,0,0,175,175,1,180
2023-02-17,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,20423,9244,1570,0,0,264,151,0,151
2023-02-18,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.1,21857,8612,931,0,1,113,113,1,182
2023-02-19,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,18094,12534,1703,0,1,236,180,0,180
2023-02-20,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.4,24790,7270,1015,0,0,208,162,0,162
2023-02-21,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.4,22088,5810,879,0,0,254,153,0,153
2023-02-22,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.2,20796,15983,1691,0,0,419,237,0,237
2023-02-23,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,17347,6940,1226,0,0,158,132,0,132
2023-02-24,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,3.8,15687,7242,614,0,0,153,153,1,159
2023-02-25,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.3,22439,10003,1260,0,1,297,212,0,212
2023-02-26,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.3,16851,10158,1477,0,1,131,131,1,191
2023-02-27,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,18199,11994,1372,0,0,152,152,1,183
2023-02-28,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.1,19782,7786,1198,0,0,285,161,0,161
2023-03-01,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.1,20781,7607,643,0,0,217,156,0,156
2023-03-02,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,22951,12681,1674,0,0,317,190,0,190
2023-03-03,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,24229,6240,734,0,0,140,130,0,130
2023-03-04,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.4,22366,13768,1776,0,1,387,211,0,211
2023-03-05,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,3.9,20856,7201,838,0,1,230,173,0,173
2023-03-06,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.5,24667,12566,1593,0,0,210,210,1,241
2023-03-07,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.0,19593,10717,1152,0,0,149,149,1,185
2023-03-08,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.3,24416,15176,1884,0,0,312,245,0,245
2023-03-09,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.9,16263,10712,1433,0,0,135,135,1,185
2023-03-10,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.2,20250,11189,1672,0,0,159,159,1,227
2023-03-11,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.3,18831,15878,1896,0,1,259,232,0,232
2023-03-12,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.4,16703,6511,1235,0,1,104,104,1,194
2023-03-13,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,19074,7150,1197,0,0,169,138,0,138
2023-03-14,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.5,22462,11107,1668,0,0,161,161,1,232
2023-03-15,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,22391,7280,755,0,0,273,160,0,160
2023-03-16,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.4,22788,8199,1376,0,0,307,168,0,168
2023-03-17,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.1,22824,6784,562,0,0,266,181,0,181
2023-03-18,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.1,22646,8738,1010,0,1,226,188,0,188
2023-03-19,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.2,22525,8456,1176,0,1,245,203,0,203
2023-03-20,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,17438,7496,550,0,0,106,106,1,150
2023-03-21,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.0,25161,5024,653,0,0,173,113,0,113
2023-03-22,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.0,16477,8981,735,0,0,349,190,0,190
2023-03-23,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,22401,10059,1077,0,0,282,183,0,183
2023-03-24,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.0,21651,10828,1297,0,0,249,168,0,168
2023-03-25,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.4,20052,10136,1258,0,1,229,194,0,194
2023-03-26,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.1,18892,14561,1853,0,1,170,170,1,236
2023-03-27,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,17331,6929,610,0,0,148,138,0,138
2023-03-28,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,23117,9078,1399,0,0,237,166,0,166
2023-03-29,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.9,22212,8516,1574,0,0,291,164,0,164
2023-03-30,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,22421,9550,1144,0,0,98,98,1,147
2023-03-31,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.2,21938,8742,606,0,0,113,113,1,176
2023-04-01,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,3.9,16726,7887,1218,0,1,177,177,1,200
2023-04-02,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.3,20076,7729,1198,0,1,83,83,1,163
2023-04-03,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.2,21330,13386,1797,0,0,226,216,0,216
2023-04-04,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.8,17441,12868,1796,0,0,216,182,0,182
2023-04-05,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.4,21638,15362,1917,0,0,152,152,1,239
2023-04-06,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.2,22366,9279,1094,0,0,90,90,1,170
2023-04-07,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.2,16356,12661,1900,0,0,217,213,0,213
2023-04-08,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,19220,12574,1322,0,1,327,171,0,171
2023-04-09,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,24601,13147,1746,0,1,155,155,1,188
2023-04-10,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.2,21811,10846,1823,0,0,230,227,0,227
2023-04-11,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,3.9,19708,5913,639,0,0,204,158,0,158
2023-04-12,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.1,17531,4838,758,0,0,72,72,1,126
2023-04-13,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.2,22551,5718,512,0,0,94,94,1,157
2023-04-14,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.1,19005,14348,1618,0,0,329,189,0,189
2023-04-15,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.5,19050,10230,1660,0,1,154,154,1,191
2023-04-16,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,3.9,24589,11912,1752,0,1,396,212,0,212
2023-04-17,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.4,23076,4344,577,0,0,211,133,0,133
2023-04-18,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.1,22478,6749,921,0,0,218,153,0,153
2023-04-19,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.0,19573,12979,1320,0,0,108,108,1,189
2023-04-20,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.1,24214,13235,1754,0,0,153,153,1,233
2023-04-21,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.3,16500,6876,788,0,0,203,173,0,173
2023-04-22,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,3.9,21926,7217,715,0,1,250,189,0,189
2023-04-23,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.1,17931,12963,1343,0,1,400,219,0,219
2023-04-24,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.2,21344,7426,510,0,0,130,130,1,187
2023-04-25,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.1,15915,7946,801,0,0,291,151,0,151
2023-04-26,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,19106,10907,1503,0,0,233,203,0,203
2023-04-27,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.3,18757,13088,1508,0,0,297,232,0,232
2023-04-28,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.0,19606,7925,1066,0,0,234,173,0,173
2023-04-29,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,23983,17202,1959,0,1,132,132,1,216
2023-04-30,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.4,23665,12825,1733,0,1,119,119,1,207
2023-05-01,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.8,16805,8870,1163,0,0,264,176,0,176
2023-05-02,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.0,18318,7157,655,0,0,283,170,0,170
2023-05-03,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.1,19853,6303,841,0,0,311,176,0,176
2023-05-04,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,23673,12792,1451,0,0,248,182,0,182
2023-05-05,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.8,24097,12557,1667,0,0,289,192,0,192
2023-05-06,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.1,21422,9377,1446,0,1,90,90,1,166
2023-05-07,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.5,20503,16466,1981,0,1,412,250,0,250
2023-05-08,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.3,16467,6795,812,0,0,340,173,0,173
2023-05-09,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,18950,12626,1752,0,0,390,201,0,201
2023-05-10,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,18183,7679,951,0,0,289,155,0,155
2023-05-11,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.0,21800,6726,829,0,0,159,157,0,157
2023-05-12,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.4,21690,9767,1245,0,0,221,207,0,207
2023-05-13,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.2,16939,11439,1404,0,1,244,175,0,175
2023-05-14,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.4,19888,10701,1235,0,1,305,194,0,194
2023-05-15,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.2,24098,11392,1804,0,0,237,169,0,169
2023-05-16,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.9,24671,6887,574,0,0,127,127,1,172
2023-05-17,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.0,22864,10792,1676,0,0,361,188,0,188
2023-05-18,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.1,25585,14660,1924,0,0,303,228,0,228
2023-05-19,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.8,18757,10279,1886,0,0,230,164,0,164
2023-05-20,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.1,22514,13876,1636,0,1,342,233,0,233
2023-05-21,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.1,18411,9920,1257,0,1,308,216,0,216
2023-05-22,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,3.9,18048,9127,1540,0,0,188,171,0,171
2023-05-23,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.0,16962,8242,607,0,0,103,103,1,175
2023-05-24,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.1,23697,4089,511,0,0,161,158,0,158
2023-05-25,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.4,17470,7383,873,0,0,231,179,0,179
2023-05-26,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.8,23963,12787,1811,0,0,176,176,1,182
2023-05-27,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,3.8,24550,7822,636,0,1,202,200,0,200
2023-05-28,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.2,22873,7001,1119,0,1,201,143,0,143
2023-05-29,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.0,20018,10816,1482,0,0,303,188,0,188
2023-05-30,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.1,25068,9054,1393,0,0,262,187,0,187
2023-05-31,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,3.8,25746,11203,1664,0,0,431,228,0,228
2023-06-01,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.2,19266,13126,1762,0,0,164,164,1,201
2023-06-02,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,16925,7625,875,0,0,250,151,0,151
2023-06-03,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,18397,9042,898,0,1,229,180,0,180
2023-06-04,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.4,24900,12458,1903,0,1,180,180,1,238
2023-06-05,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.9,21465,15237,1833,0,0,443,229,0,229
2023-06-06,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.1,16716,11514,1252,0,0,132,132,1,173
2023-06-07,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.2,17698,8869,918,0,0,222,157,0,157
2023-06-08,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.4,20666,14418,1643,0,0,207,207,1,221
2023-06-09,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.1,24974,14152,1718,0,0,285,232,0,232
2023-06-10,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.3,25410,11238,1454,0,1,272,195,0,195
2023-06-11,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.9,25708,11810,1472,0,1,172,172,1,185
2023-06-12,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.4,16127,8044,848,0,0,174,168,0,168
2023-06-13,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.3,20126,14168,1670,0,0,168,168,1,221
2023-06-14,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.3,16182,8626,1056,0,0,282,191,0,191
2023-06-15,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.4,24842,8732,1260,0,0,246,154,0,154
2023-06-16,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.0,19571,8538,581,0,0,265,145,0,145
2023-06-17,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.2,16971,14646,1756,0,1,293,213,0,213
2023-06-18,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.4,16847,13493,1849,0,1,161,161,1,204
2023-06-19,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,16122,9255,1719,0,0,323,164,0,164
2023-06-20,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,3.9,24959,8923,900,0,0,347,194,0,194
2023-06-21,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,20981,6864,528,0,0,191,163,0,163
2023-06-22,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.3,25505,11648,1237,0,0,179,179,1,210
2023-06-23,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,19020,11566,1545,0,0,323,177,0,177
2023-06-24,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,22316,12937,1368,0,1,350,189,0,189
2023-06-25,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,17855,8693,1686,0,1,98,98,1,174
2023-06-26,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.1,19490,9893,1583,0,0,296,196,0,196
2023-06-27,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.9,24769,9759,877,0,0,89,89,1,151
2023-06-28,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.9,17765,6709,1020,0,0,194,156,0,156
2023-06-29,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.1,19683,6195,1220,0,0,133,133,1,141
2023-06-30,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,24257,6951,510,0,0,118,118,1,157
2023-07-01,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,21696,13025,1986,0,1,193,193,1,205
